latitude,longitude,time,parent,selfid
49.72015422,14.27402629,1451458004018,1,2
49.66549949,14.29529302,1450064372938,2,3
49.54634256,14.08849707,1449934045101,1,4
49.78010369,14.19906883,1450629642206,2,5
49.72015422,14.27402629,1449399772962,5,6
49.63421271,13.94838986,1451187612191,3,7
49.77532293,14.26745979,1450362620870,1,8
49.62830954,14.18657097,1449575428602,8,9
49.6176521,14.38976172,1449418658160,5,10
49.57182912,14.53259733,1450386082809,3,11
49.80750806,14.27987907,1450250268983,8,12
49.58177169,14.2032834,1451303111231,2,13
49.60774451,14.47812497,1449484854958,3,14
49.67415889,13.95112806,1451024448541,7,15
49.65551256,13.94388785,1450228587798,12,16
49.70122451,14.30093723,1451280400825,1,17
49.60460541,14.2774187,1449788195526,6,18
49.83176016,14.27522929,1449158351093,11,19
49.54222154,14.08590636,1451413987233,16,20
49.61591211,13.95515837,1450222621365,17,21
49.57182912,14.53259733,1450928657148,14,22
49.7551319,14.06657594,1449871729190,16,23
49.72338706,14.3103795,1451395812235,22,24
49.6176521,14.38976172,1451393372281,5,25
49.54222154,14.08590636,1449860805683,24,26
49.75294822,14.20465098,1451486780873,17,27
49.62565737,13.96754426,1450333097242,16,28
49.6520301,13.91660576,1449946927717,28,29
49.83176016,14.27522929,1450829721209,7,30
49.68987657,14.0104249,1451541736320,11,31
49.63902324,14.25344821,1449616422831,25,32
49.77048266,14.35247869,1450347005813,23,33
49.80322338,14.35691471,1451460956734,22,34
49.78113234,14.16716667,1449851348905,1,35
49.7551319,14.06657594,1449135691043,6,36
49.57919932,14.48519862,1451184356813,9,37
49.64931359,14.06000913,1450209514449,30,38
49.57678571,14.07182724,1450383198534,29,39
49.7540548,14.38583409,1449734100341,35,40
49.68718948,13.95009774,1449461630399,6,41
49.56240048,14.52737119,1449410732236,38,42
49.74543911,14.05780204,1449970912210,15,43
49.6707062,14.50621398,1451043063591,2,44
49.57182912,14.53259733,1449957630510,7,45
49.78800282,14.29355424,1450118465693,30,46
49.6707062,14.50621398,1450313471130,4,47
49.72015422,14.27402629,1450141023728,12,48
49.63902324,14.25344821,1451193904049,30,49
49.73496694,14.27970196,1451367686637,47,50
49.77048266,14.35247869,1449793843383,46,51
49.57182912,14.53259733,1450563524593,17,52
49.78113234,14.16716667,1451070928163,41,53
49.58074651,14.20315441,1449300665003,10,54
49.57182912,14.53259733,1449817795346,22,55
49.59548248,13.9923997,1451344408316,49,56
49.78225135,14.19735392,1450622980797,31,57
49.62349131,14.00384734,1450829398079,14,58
49.68963019,14.48269104,1449059815527,49,59
49.78225135,14.19735392,1449603069746,20,60
49.70289355,14.34756014,1451118600583,58,61
49.83176016,14.27522929,1450687260470,17,62
49.72015422,14.27402629,1449368894124,18,63
49.60720612,13.85227727,1449370768045,2,64
49.77048266,14.35247869,1449289024026,40,65
49.69659978,14.05275417,1451507860745,22,66
49.72015422,14.27402629,1450526286334,8,67
49.7551319,14.06657594,1450410610346,40,68
49.68963019,14.48269104,1449478773147,4,69
49.57502048,14.07361783,1449687465830,42,70
49.65232081,14.44706439,1449613237282,38,71
49.78703261,13.95970945,1449674749382,10,72
49.78225135,14.19735392,1449822230550,2,73
49.57547603,14.07097718,1450981389886,18,74
49.67262796,14.04734544,1451293723007,36,75
49.77048266,14.35247869,1450337139184,6,76
49.66579254,14.26114283,1449881476823,31,77
49.57476002,14.07373687,1451306163766,68,78
49.65263871,14.26832658,1450546226621,3,79
49.68869418,14.01100089,1450546976741,55,80
49.7966124,13.96907328,1449564302657,76,81
49.59499563,13.86654885,1451146544912,10,82
49.55411193,13.96709347,1449218809146,16,83
49.57855234,14.07056387,1451430116085,5,84
49.59257649,13.8409277,1449706249354,75,85
49.65901795,14.43341245,1449388022523,43,86
49.66057188,14.42663821,1448986573219,32,87
49.60269746,13.86527693,1451623260789,75,88
49.77851577,14.37780048,1450893668268,25,89
49.72412259,14.08293943,1449027172382,12,90
49.83176016,14.27522929,1449157125599,36,91
49.69858527,14.37074676,1449930424466,25,92
49.73517409,14.26595712,1451520487314,15,93
49.80778659,14.28186977,1450503630371,44,94
49.83176016,14.27522929,1450174019954,62,95
49.83176016,14.27522929,1450749612202,50,96
49.68685094,14.27490927,1449693278413,80,97
49.60013142,14.10818357,1450674696052,43,98
49.61756438,14.19577535,1450511856297,20,99
49.83176016,14.27522929,1451439445231,24,100
49.70778751,14.29870928,1450827995300,53,101
49.70778751,14.29870928,1451032870590,22,102
49.69209112,14.04069877,1450744099086,70,103
49.62007844,14.23059048,1449363034518,34,104
49.54222154,14.08590636,1450150601194,45,105
49.66057188,14.42663821,1450075841673,64,106
49.80436906,14.27184089,1450619249725,39,107
49.71615342,13.94730713,1450517624026,35,108
49.54222154,14.08590636,1449554250135,89,109
49.69209112,14.04069877,1449449857029,28,110
49.78113234,14.16716667,1450938000267,110,111
49.78623643,13.97867341,1449437687858,19,112
49.7551319,14.06657594,1450086321662,69,113
49.75131344,14.168978,1449786841530,27,114
49.6707062,14.50621398,1449134322536,87,115
49.72089887,14.27506914,1449978979889,60,116
49.78113234,14.16716667,1450415496462,55,117
49.63756594,14.31203198,1450969583908,95,118
49.80750352,14.27987263,1450328647100,54,119
49.71038299,14.10249686,1450777672503,105,120
49.69028755,13.98184058,1448997917515,94,121
49.77687872,14.16900007,1450231064808,44,122
49.83176016,14.27522929,1450918688264,109,123
49.72015422,14.27402629,1449750500036,35,124
49.56967472,14.07249888,1450186121778,63,125
49.77989078,14.16688845,1450946010207,76,126
49.62007844,14.23059048,1451295819636,104,127
49.75131344,14.168978,1450271843921,11,128
49.54222154,14.08590636,1450091500831,116,129
49.6973383,14.23475115,1450295551523,99,130
49.65414215,14.47172879,1449815054604,97,131
49.66093385,14.24832823,1450653754958,65,132
49.6978248,14.01391312,1451531953028,88,133
49.80770426,13.97079217,1451159794815,7,134
49.65551256,13.94388785,1450235183307,118,135
49.79005174,14.19717378,1450617540341,34,136
49.78188743,14.16819946,1449535461037,46,137
49.65414215,14.47172879,1451395988144,116,138
49.83176016,14.27522929,1449933314563,94,139
49.54222154,14.08590636,1451571564811,102,140
49.77693703,14.19254783,1449404149103,24,141
49.62007844,14.23059048,1449349949291,131,142
49.61735443,13.95637827,1451418402799,45,143
49.7939709,13.97323127,1450497947595,25,144
49.62565624,13.96754385,1450378944710,95,145
49.73187229,14.39507091,1450042727539,138,146
49.82805899,14.27312643,1450702849204,39,147
49.74718817,14.01806568,1449215280597,51,148
49.68929431,14.0350832,1449233678044,35,149
49.71379069,14.01225993,1450812543283,61,150
49.78052426,14.16294006,1450282577585,2,151
49.67251169,14.36194366,1450106781243,148,152
49.58074651,14.20315441,1449910122942,126,153
49.83176016,14.27522929,1451114710184,76,154
49.62614363,14.42499916,1450099614156,111,155
49.69209112,14.04069877,1450808720093,7,156
49.80322338,14.35691471,1451601311392,108,157
49.78889505,13.99271763,1449838968501,45,158
49.69209112,14.04069877,1450208201510,145,159
49.6652729,13.9876231,1450243833521,65,160
49.61735443,13.95637827,1451489560037,97,161
49.54222154,14.08590636,1451309516839,87,162
49.67476983,14.15223947,1451142396917,118,163
49.62565624,13.96754385,1450020238635,69,164
49.81471005,14.32348061,1451072212723,150,165
49.76327622,14.35714518,1451623172307,38,166
49.63756594,14.31203198,1451088898149,24,167
49.62565624,13.96754385,1449702865758,24,168
49.65013497,14.03427092,1449461676139,146,169
49.69028755,13.98184058,1450896480841,46,170
49.69209112,14.04069877,1448953825627,94,171
49.65329183,13.99650078,1450964270243,83,172
49.54222154,14.08590636,1451495505904,154,173
49.6598337,14.01302229,1449488941230,154,174
49.80750352,14.27987263,1449706187726,138,175
49.78623643,13.97867341,1451032632814,33,176
49.78707908,13.9748843,1449713849242,81,177
49.75495686,14.34158459,1450787448918,12,178
49.78707908,13.9748843,1449494962064,42,179
49.7866664,14.31079176,1450733363135,36,180
49.54222154,14.08590636,1450858167375,136,181
49.669158,14.15670773,1450677218382,103,182
49.68987657,14.0104249,1450949430403,170,183
49.59548248,13.9923997,1449102589653,100,184
49.65329183,13.99650078,1450466709035,78,185
49.83176016,14.27522929,1449233391211,26,186
49.57182912,14.53259733,1449777450699,139,187
49.7704835,14.35247912,1449808716332,100,188
49.57182912,14.53259733,1450755008113,170,189
49.71310009,14.06688677,1449027910588,98,190
49.69939795,14.24907106,1450382092409,129,191
49.78225135,14.19735392,1449979791308,49,192
49.58893001,13.98616271,1450033452645,7,193
49.58074651,14.20315441,1449709456895,84,194
49.62566248,13.96755021,1450534111928,100,195
49.54222154,14.08590636,1450031866399,107,196
49.80750352,14.27987263,1451182249662,26,197
49.64767165,14.12109488,1451180215511,115,198
49.74621817,14.02019167,1451005752045,129,199
49.63981798,14.07872176,1450064638109,183,200
49.78771594,14.24340033,1449739008685,198,201
49.72404226,14.08241502,1450967277124,124,202
49.80750352,14.27987263,1449685638215,84,203
49.60041136,14.10548499,1451605554196,202,204
49.63857947,14.20893831,1451260037384,191,205
49.8171476,14.21654314,1450155500489,19,206
49.72015422,14.27402629,1449663842916,3,207
49.79179321,14.19724138,1449668435547,72,208
49.72722168,14.24954555,1449593408014,200,209
49.65013497,14.03427092,1450083275344,163,210
49.78703261,13.95970945,1450226229784,134,211
49.57321934,14.49184269,1450558757509,4,212
49.66057188,14.42663821,1450956641702,21,213
49.63369773,13.85888263,1450551335500,8,214
49.68719572,13.95010454,1449909383869,39,215
49.83176016,14.27522929,1449831828419,133,216
49.78225135,14.19735392,1451207543011,121,217
49.80914664,13.93906134,1450376456342,176,218
49.71998413,14.2742443,1451172684370,98,219
49.66549949,14.29529302,1449340332218,99,220
49.6551265,14.06327212,1450936444982,30,221
49.72089887,14.27506914,1449863649908,129,222
49.68987657,14.0104249,1450624616444,26,223
49.74543911,14.05780204,1450506471435,32,224
49.65551256,13.94388785,1450471172320,13,225
49.69844046,14.23403399,1449149272587,197,226
49.66549949,14.29529302,1450216038284,200,227
49.79723318,14.25545165,1451307642810,184,228
49.63369773,13.85888263,1449599041961,69,229
49.78623643,13.97867341,1450767148642,81,230
49.77048266,14.35247869,1451249956269,42,231
49.69886872,14.29953621,1450041274295,31,232
49.66057188,14.42663821,1451027422296,9,233
49.67689923,14.01498998,1449149164708,223,234
49.59079568,14.0881061,1450665525439,183,235
49.78703261,13.95970945,1451068721999,74,236
49.74544479,14.05780887,1450877697048,54,237
49.63901786,14.25344266,1450828744439,21,238
49.78225135,14.19735392,1449708509520,3,239
49.70050201,14.12355328,1449404813369,104,240
49.7088934,14.2868527,1451452054945,61,241
49.7551319,14.06657594,1451041576969,206,242
49.78225135,14.19735392,1451548215262,119,243
49.66103925,14.13844102,1450255750560,99,244
49.66103925,14.13844102,1451399110575,115,245
49.55428206,14.52770229,1450756544585,56,246
49.79999243,14.28634625,1449094886290,13,247
49.83176016,14.27522929,1449865911883,45,248
49.64084764,13.97088101,1450697632985,44,249
49.66057188,14.42663821,1450802057878,90,250
49.60041136,14.10548499,1449163567460,17,251
49.78703261,13.95970945,1449871172598,30,252
49.77048266,14.35247869,1450336464529,56,253
49.65586268,13.96026613,1450156192882,118,254
49.68987657,14.0104249,1450796154870,15,255
49.72035974,14.27934494,1450539311930,225,256
49.84467045,14.27931716,1451565781610,221,257
49.78800282,14.29355424,1451182041665,36,258
49.78982936,14.17721601,1450436704864,65,259
49.78225135,14.19735392,1451068220815,250,260
49.66470252,13.96543025,1449517321378,86,261
49.7020797,14.1177007,1451196751331,73,262
49.66057188,14.42663821,1450694237813,110,263
49.70303521,14.00183437,1450823926603,6,264
49.69886872,14.29953621,1451062617814,113,265
49.6427863,13.83726055,1449895483268,263,266
49.7020797,14.1177007,1450521982164,22,267
49.63421271,13.94838986,1450076609281,213,268
49.68987657,14.0104249,1450102570856,59,269
49.64931359,14.06000913,1450752334593,38,270
49.67251169,14.36194366,1449501805334,86,271
49.63901786,14.25344266,1449681028446,1,272
49.64757614,14.24854563,1449885307541,164,273
49.78623643,13.97867341,1449789461396,187,274
49.70289836,14.34756571,1449798234966,47,275
49.68987657,14.0104249,1451135502297,142,276
49.68987657,14.0104249,1449878688723,105,277
49.59548248,13.9923997,1450324743410,121,278
49.83176016,14.27522929,1449054320905,94,279
49.78726549,14.1906422,1451136191316,66,280
49.75495233,14.34157858,1449061933671,248,281
49.80750352,14.27987263,1449910086039,38,282
49.75495233,14.34157858,1449400219925,53,283
49.61790837,14.39768817,1449083046951,78,284
49.57182912,14.53259733,1449120949954,221,285
49.660573,14.42663863,1449026035289,231,286
49.61577268,14.10513506,1450879610906,193,287
49.62614815,14.4250043,1449844705293,33,288
49.55386747,14.21472743,1450219062539,229,289
49.80322338,14.35691471,1451230738196,98,290
49.81471005,14.32348061,1450508694259,109,291
49.79723318,14.25545165,1450323110874,194,292
49.7551319,14.06657594,1450683353001,169,293
49.80770426,13.97079217,1450835608857,95,294
49.70310958,14.14254168,1451547237212,193,295
49.62007844,14.23059048,1450937555495,15,296
49.80750352,14.27987263,1450979723487,141,297
49.78889505,13.99271763,1450837017479,89,298
49.7020797,14.1177007,1450875563502,228,299
49.77851577,14.37780048,1449943357402,123,300
49.6978248,14.01391312,1450409662300,199,301
49.78703261,13.95970945,1449369478479,209,302
49.62349131,14.00384734,1449045653684,238,303
49.61524662,13.82421544,1451060917259,299,304
49.74544024,14.05780246,1451022233203,219,305
49.7198849,14.11692114,1450875885401,171,306
49.55624948,14.00057561,1451442033861,4,307
49.72111845,14.12059825,1451515388600,202,308
49.83176016,14.27522929,1450691949645,66,309
49.80750352,14.27987263,1450293478190,9,310
49.75495233,14.34157858,1450118979237,141,311
49.61971678,14.40763921,1450513872754,108,312
49.60478156,14.47513378,1451240178509,39,313
49.57938402,14.07213113,1450865658838,209,314
49.7551319,14.06657594,1449695375936,26,315
49.59642509,13.98954387,1450459480988,57,316
49.660573,14.42663863,1450965307387,100,317
49.6707062,14.50621398,1450392010305,267,318
49.67262909,14.04734542,1451028865498,117,319
49.7526386,14.20589896,1450703979859,46,320
49.67618728,14.01711122,1451424807885,184,321
49.67276946,14.38957739,1449900552148,238,322
49.57763297,14.53932337,1449855574684,147,323
49.62306583,13.9663607,1450238431653,284,324
49.68931843,14.02571329,1450756050068,268,325
49.69028755,13.98184058,1450578087332,147,326
49.78113234,14.16716667,1450338173886,205,327
49.73147227,14.01909962,1450739835203,95,328
49.73496806,14.27970238,1449230875549,22,329
49.7880672,14.15160432,1450319000910,196,330
49.65414215,14.47172879,1449224414712,287,331
49.59234909,14.08869116,1449561253776,305,332
49.60041136,14.10548499,1449771048259,189,333
49.65263871,14.26832658,1450550044407,21,334
49.62565737,13.96754426,1450188340549,7,335
49.65414215,14.47172879,1451136785587,69,336
49.81442878,14.32306275,1451317710773,193,337
49.75131344,14.168978,1450273232955,117,338
49.73496694,14.27970196,1448998157044,29,339
49.83176016,14.27522929,1450662962403,195,340
49.67701303,13.94657566,1451244170984,213,341
49.74041216,13.99893556,1451406580665,178,342
49.80750352,14.27987263,1451580402323,67,343
49.7352231,14.01569424,1449871270423,193,344
49.660573,14.42663863,1450034892235,303,345
49.7800078,14.37467994,1451009447703,285,346
49.68987657,14.0104249,1451285748372,166,347
49.62565737,13.96754426,1450420259375,59,348
49.62804351,14.04788638,1449946382778,78,349
49.68039839,14.21636755,1449441967716,106,350
49.63978945,14.20933508,1450321617733,350,351
49.78113234,14.16716667,1449121549855,306,352
49.66093385,14.24832823,1450140294603,10,353
49.69589657,14.24760969,1449773606847,276,354
49.63683229,14.31099018,1450031906586,244,355
49.79601636,14.24757149,1450460778739,218,356
49.80322338,14.35691471,1449466999441,39,357
49.70778751,14.29870928,1451608865743,272,358
49.65930505,14.01250342,1449111167670,292,359
49.67903386,13.97507674,1451394031400,19,360
49.78827186,13.96610966,1451327014029,132,361
49.67355547,14.15399699,1450641012156,265,362
49.63683229,14.31099018,1450573955050,316,363
49.59213655,14.12912718,1449254427222,349,364
49.68987741,14.01042532,1449619402505,242,365
49.58923229,14.22140435,1451538493700,325,366
49.70612452,14.14654105,1450980392643,262,367
49.60195367,13.86430032,1451359051438,32,368
49.64907332,14.11989689,1449984623541,29,369
49.80322338,14.35691471,1450358169920,286,370
49.649759,14.03644425,1450600265264,274,371
49.83176016,14.27522929,1449442718978,121,372
49.79977028,13.94808728,1449105629082,240,373
49.75431095,14.19065891,1449311059068,60,374
49.63901786,14.25344266,1451555209642,103,375
49.58848955,14.22201457,1449806144120,172,376
49.65554265,13.96237848,1450614666507,316,377
49.66103925,14.13844102,1449790569109,59,378
49.58016008,14.5419076,1451225729983,81,379
49.72015422,14.27402629,1451456825463,213,380
49.59932781,14.11963962,1450407419653,275,381
49.71380414,14.06583292,1450966237217,345,382
49.67668596,14.31914009,1451020602357,7,383
49.66103925,14.13844102,1451613401243,321,384
49.81471005,14.32348061,1450482351150,75,385
49.78225135,14.19735392,1449570431709,281,386
49.628051,14.29800177,1450564982025,34,387
49.65551256,13.94388785,1451111008022,34,388
49.83733863,14.27648183,1451604566812,40,389
49.65147462,14.05949345,1449885886506,262,390
49.6978248,14.01391312,1449760553194,109,391
49.74621817,14.02019167,1450479860716,376,392
49.8171476,14.21654314,1450908097312,163,393
49.68685094,14.27490927,1450348521851,246,394
49.83176016,14.27522929,1450556396599,326,395
49.78070776,14.19899246,1449001944541,213,396
49.65726781,13.99549632,1449122947947,112,397
49.94811389,14.67744653,1450727263805,194,398
50.2062066,14.47773318,1449513835246,232,399
50.17866153,14.51788525,1449423694502,248,400
49.92447554,14.6750413,1449064229207,253,401
50.07394302,14.73080395,1449986943137,226,402
49.99394858,14.60222941,1450066944799,92,403
49.99625292,14.81596268,1449160873231,248,404
49.93601464,14.70906864,1450175310055,31,405
49.97142524,14.73849961,1451535534094,126,406
49.91611046,14.58221128,1451487258481,70,407
49.89766517,14.84616769,1451602737011,227,408
